,IM,EQRecord,MaxDrift,MaxAbsAccel,MaxRelativeAccel,ResDrift,Iffinish
85,1.1555555555555557,Resources/FEMA_P-695_far-field_ground_motions/RSN848_LANDERS_CLW-LN,[0.034914  0.0238767 0.0110609],[4.30389 3.46855 3.26574 3.63127],[0.      4.25877 6.54312 6.91358],0.00325472,1.0
86,1.3666666666666667,Resources/FEMA_P-695_far-field_ground_motions/RSN848_LANDERS_CLW-LN,[0.038563  0.0275653 0.0141777],[5.09018 3.672   3.71959 3.7439 ],[0.      4.83496 7.31963 7.70325],0.0021920000000000004,1.0
87,1.577777777777778,Resources/FEMA_P-695_far-field_ground_motions/RSN848_LANDERS_CLW-LN,[0.0416008 0.0318071 0.0168061],[5.87647 3.93465 4.02789 4.16156],[0.      5.57342 8.38811 8.73103],0.0019846,1.0
88,1.788888888888889,Resources/FEMA_P-695_far-field_ground_motions/RSN848_LANDERS_CLW-LN,[0.0468516 0.0355172 0.0187719],[6.66276 4.2796  4.29322 4.51295],[0.      6.34039 9.51385 9.90528],0.00264759,1.0
89,2.0,Resources/FEMA_P-695_far-field_ground_motions/RSN848_LANDERS_CLW-LN,[0.0521341 0.0388409 0.0202523],[7.44905 4.55251 4.52741 4.77953],[ 0.       6.99602 10.6462  11.0576 ],0.00358794,1.0
90,0.1,Resources/FEMA_P-695_far-field_ground_motions/RSN900_LANDERS_YER270,[0.00339781 0.00263429 0.00153727],[0.457373 0.640064 0.929544 1.1381  ],[0.       0.622399 0.865476 1.18518 ],1.91854e-05,1.0
91,0.3111111111111111,Resources/FEMA_P-695_far-field_ground_motions/RSN900_LANDERS_YER270,[0.0147388  0.00946908 0.00420608],[1.42294 1.59255 1.81294 2.37721],[0.      1.11118 1.85188 2.90833],0.00293078,1.0
92,0.5222222222222223,Resources/FEMA_P-695_far-field_ground_motions/RSN900_LANDERS_YER270,[0.0333091 0.0228317 0.010887 ],[2.3885  2.63283 2.74595 3.36246],[0.      1.59856 2.33851 3.49601],0.00667781,1.0
93,0.7333333333333333,Resources/FEMA_P-695_far-field_ground_motions/RSN900_LANDERS_YER270,[0.0502706 0.0343048 0.0172694],[3.35407 3.49079 3.60749 4.25304],[0.      1.89542 2.98139 3.69571],0.00978991,1.0
94,0.9444444444444444,Resources/FEMA_P-695_far-field_ground_motions/RSN900_LANDERS_YER270,[0.0676276 0.0459663 0.0227258],[4.31964 4.09885 4.33463 4.8476 ],[0.      2.15228 3.43685 4.21899],0.0132935,1.0
95,1.1555555555555557,Resources/FEMA_P-695_far-field_ground_motions/RSN900_LANDERS_YER270,[0.0881593 0.0580401 0.0283192],[5.2852  4.78736 4.81687 5.48194],[0.      2.4647  4.5921  4.86157],0.020091,1.0
96,1.3666666666666667,Resources/FEMA_P-695_far-field_ground_motions/RSN900_LANDERS_YER270,[0.110302  0.0734025 0.0346389],[6.25077 5.60776 5.33433 6.09686],[0.      2.91774 5.73454 6.14116],0.0259968,1.0
97,1.577777777777778,Resources/FEMA_P-695_far-field_ground_motions/RSN900_LANDERS_YER270,[0.133622  0.0892838 0.0439028],[7.21633 6.49792 5.9063  6.7199 ],[0.      3.60517 6.58441 7.08005],0.0276647,1.0
98,1.788888888888889,Resources/FEMA_P-695_far-field_ground_motions/RSN900_LANDERS_YER270,[0.155983  0.105469  0.0528872],[8.1819  7.23036 6.52421 7.33989],[0.      3.9738  7.37299 7.78924],0.0301207,1.0
99,2.0,Resources/FEMA_P-695_far-field_ground_motions/RSN900_LANDERS_YER270,[0.176312  0.121433  0.0616215],[9.14747 7.72611 7.0945  7.99725],[0.      4.41454 8.06329 8.52293],0.0284714,1.0
100,0.1,Resources/FEMA_P-695_far-field_ground_motions/RSN953_NORTHR_MUL009,[0.0030475  0.00230324 0.00119554],[0.219104 0.558725 0.833872 0.899612],[0.       0.369057 0.66468  0.92791 ],2.21391e-05,1.0
101,0.3111111111111111,Resources/FEMA_P-695_far-field_ground_motions/RSN953_NORTHR_MUL009,[0.00778537 0.0057479  0.00333481],[0.681658 1.16173  1.63759  2.05842 ],[0.       0.925341 1.67955  2.14646 ],0.000412818,1.0
102,0.5222222222222223,Resources/FEMA_P-695_far-field_ground_motions/RSN953_NORTHR_MUL009,[0.0138369  0.00878308 0.00398962],[1.14421 1.52684 1.89207 2.18156],[0.      1.25989 1.92168 2.53271],0.00200829,1.0
103,0.7333333333333333,Resources/FEMA_P-695_far-field_ground_motions/RSN953_NORTHR_MUL009,[0.022149   0.0147531  0.00670391],[1.60677 2.18158 2.39462 2.54398],[0.      1.40799 2.28746 2.90711],0.00262386,1.0
104,0.9444444444444444,Resources/FEMA_P-695_far-field_ground_motions/RSN953_NORTHR_MUL009,[0.0296736  0.0200931  0.00986906],[2.06932 2.54039 2.81448 3.07506],[0.     1.6863 2.8076 3.3333],0.00077383,1.0
105,1.1555555555555557,Resources/FEMA_P-695_far-field_ground_motions/RSN953_NORTHR_MUL009,[0.0379538 0.027246  0.0138496],[2.53187 2.99969 3.18864 3.69577],[0.      2.03053 3.25956 4.03267],0.0011116,1.0
106,1.3666666666666667,Resources/FEMA_P-695_far-field_ground_motions/RSN953_NORTHR_MUL009,[0.0475746 0.0331274 0.0168236],[2.99443 3.35871 3.51775 4.17882],[0.      2.33862 3.62175 4.71938],0.00438635,1.0
107,1.577777777777778,Resources/FEMA_P-695_far-field_ground_motions/RSN953_NORTHR_MUL009,[0.0570452 0.0386584 0.0194783],[3.45698 3.66581 3.85865 4.6012 ],[0.      2.72901 4.19898 5.31025],0.00840298,1.0
108,1.788888888888889,Resources/FEMA_P-695_far-field_ground_motions/RSN953_NORTHR_MUL009,[0.0633887 0.0433967 0.0219596],[3.91954 4.01282 4.15587 4.93737],[0.      3.09018 4.66347 5.95792],0.00847032,1.0
109,2.0,Resources/FEMA_P-695_far-field_ground_motions/RSN953_NORTHR_MUL009,[0.0684279 0.0470458 0.0238401],[4.38209 4.27743 4.37849 5.24822],[0.      3.42396 5.24224 6.64699],0.00743122,1.0
110,0.1,Resources/FEMA_P-695_far-field_ground_motions/RSN960_NORTHR_LOS000,[0.005203   0.00396818 0.00223497],[0.3846   0.793996 1.35001  1.6498  ],[0.       0.835596 1.39161  1.71337 ],0.000301017,1.0
111,0.3111111111111111,Resources/FEMA_P-695_far-field_ground_motions/RSN960_NORTHR_LOS000,[0.0101126  0.00839875 0.00473734],[1.19653 1.23209 1.6085  2.18964],[0.      1.40164 2.06124 2.33954],0.00122044,1.0
112,0.5222222222222223,Resources/FEMA_P-695_far-field_ground_motions/RSN960_NORTHR_LOS000,[0.0166172  0.0130993  0.00688256],[2.00846 1.65333 2.04287 2.61332],[0.      1.81578 2.74951 3.14203],0.00296897,1.0
